name;mnemo
ACCOR;AC.PA
ADOCIA;ADOC.PA
AEROPORTS PARIS;ADP.PA
AIRBUS SE;AIR.PA
AIR FRANCE KLM;AF.PA
AIR LIQUIDE;AI.PA
AKWEL;AKW.PA
ALSTOM;ALO.PA
ALTAMIR;LTA.PA
AMUNDI;AMUN.PA
ALTAREA;ALTA.PA
ALTEN;ATE.PA
ARGAN;ARG.PA
ARKEMA;AKE.PA
ARTMARKET;PRC.PA
ATOS;ATO.PA
AUBAY;AUB.PA
AXA;CS.PA
AXWAY SOFTWARE;AXW.PA
BENETEAU;BEN.PA
BIC;BB.PA
BIOMERIEUX;BIM.PA
BNP PARIBAS;BNP.PA
BOIRON;BOI.PA
BOLLORE;BOL.PA
BONDUELLE;BON.PA
BOUYGUES;EN.PA
BUREAU VERITAS;BVI.PA
CAPGEMINI;CAP.PA
CAPELLI;ALCAP.PA
CARMILA;CARM.PA
CARREFOUR;CA.PA
CASINO GUICHARD;CO.PA
CEGEDIM;CGM.PA
CGG;CGG.PA
CHRISTIAN DIOR;CDI.PA
CIE ALPES;CDA.PA
COFACE;COFA.PA
COLAS;RE.PA
COVIVIO;COV.PA
CREDIT AGRICOLE;ACA.PA
GROUPE CRIT;CEN.PA
DANONE;BN.PA
DASSAULT AVIATION;AM.PA
DASSAULT SYSTEMES;DSY.PA
DELTA PLUS GROUP;ALDLT.PA
DERICHEBOURG;DBG.PA
DONTNOD;ALDNE.PA
EDENRED;EDEN.PA
EIFFAGE;FGR.PA
ELIOR GROUP;ELIOR.PA
ENGIE;ENGI.PA
ERAMET;ERA.PA
ESSILORLUXOTTICA;EL.PA
ESSO;ES.PA
EUROAPI;EAPI.PA
EURAZEO;RF.PA
EUROFINS SCIENTIF;ERF.PA
EURONEXT;ENX.PA
EURO RESSOURCES;EUR.PA
EUTELSAT COMMUNICA;ETL.PA
FDJ;FDJ.PA
FINANCIERE ODET;ODET.PA
FNAC DARTY;FNAC.PA
GAZTRANSPORT TECHN;GTT.PA
GECINA;GFC.PA
GLOBAL BIOENERGIES;ALGBE.PA
GRAINES VOLTZ;GRVO.PA
HERMES INTL;RMS.PA
ICADE;ICAD.PA
ID LOGISTICS;IDL.PA
IMERYS;NK.PA
IPSEN;IPN.PA
IPSOS;IPS.PA
JC DECAUX;DEC.PA
KERING;KER.PA
KLEPIERRE;LI.PA
KORIAN;KORI.PA
LAGARDERE;MMB.PA
LEGRAND;LR.PA
LISI;FII.PA
LOREAL;OR.PA
LVMH;MC.PA
MANITOU BF;MTU.PA
MAURELPROM;MAU.PA
MERCIALYS;MERY.PA
MERSEN;MRN.PA
M6;MMT.PA
MICHELIN;ML.PA
NEOEN;NEOEN.PA
NEXANS;NEX.PA
NEXITY;NXI.PA
NOKIA;NOKIA.PA
OENEO;SBT.PA
ORANGE;ORA.PA
ORPEA;ORP.PA
PERNOD RICARD;RI.PA
PEUGEOT;PEUG.PA
PIERRE VACANCES;VAC.PA
PUBLICIS GROUPE;PUB.PA
QUADIENT SA;QDT.PA
RALLYE;RAL.PA
RAMSAY GEN SANTE;GDS.PA
REMY COINTREAU;RCO.PA
RENAULT;RNO.PA
REXEL;RXL.PA
ROTHSCHILD CO;ROTH.PA
RHI MAGNESITA;RHF.F
RUBIS;RUI.PA
SAFRAN;SAF.PA
SAINT GOBAIN;SGO.PA
SANOFI;SAN.PA
SARTORIUS STEDIM;DIM.PA
SAVENCIA;SAVE.PA
SCHLUMBERGER;SLB.PA
SCHNEIDER ELECTRIC;SU.PA
SEB;SK.PA
SII;SII.PA
SOCIETE GENERALE;GLE.PA
SODEXO;SW.PA
SPIE;SPIE.PA
STEF;STF.PA
STMICROELECTRONICS;STMPA.PA
SYNERGIE;SDG.PA
TELEPERFORMANCE;TEP.PA
TF1;TFI.PA
THALES;HO.PA
TOUR EIFFEL;EIFF.PA
TRANSGENE;TNG.PA
UBISOFT ENTERTAIN;UBI.PA
VALEO;FR.PA
VALLOUREC;VK.PA
VEOLIA ENVIRONNEMENT;VIE.PA
VETOQUINOL;VETO.PA
VICAT;VCT.PA
VINCI;DG.PA
VIVENDI;VIV.PA
WEDIA;ALWED.PA
WENDEL;MF.PA
WORLDLINE;WLN.PA
X-FAB SILICON FOUN;XFAB.PA
